sgRNA_ID,drug,rep,rdiff,prop,lab
EZH2_130,GSK,0,1.7203243304962768,1.3554604176044305e-5,EZH2 423
EZH2_130,GSK,1,10.881639564940588,1.000000001367e-12,EZH2 423
EZH2_130,GSK,2,-7.2986629903928115,3.679510053406365e-5,EZH2 423
EZH2_130,GSK,3,2.38150526016089,3.868710994069266e-6,EZH2 423
EZH2_131,GSK,-1,-1.0663059293287347,2.007346756037949e-5,EZH2 428
EZH2_131,GSK,0,1.6269799982266129,2.007346756037949e-5,EZH2 428
EZH2_131,GSK,1,2.432451460398435,1.0142401013864661e-5,EZH2 428
EZH2_131,GSK,2,-1.6948988544690065,2.299700070878898e-5,EZH2 428
EZH2_131,GSK,3,-3.9364703939156325,2.7081000958484828e-5,EZH2 428
EZH2_132,GSK,-1,1.3131912648136577,3.0662642945052366e-6,EZH2 432
EZH2_132,GSK,0,-2.8311183340199344,3.0662642945052366e-6,EZH2 432
EZH2_132,GSK,1,5.289051196113361,1.000000001367e-12,EZH2 432
EZH2_132,GSK,2,-6.514532709112114,9.19879088351571e-6,EZH2 432
EZH2_132,GSK,3,5.165055307439726,9.99999998467e-13,EZH2 432
EZH2_133,GSK,-1,-1.2406935956963985,3.8480970585937905e-5,EZH2 433
EZH2_133,GSK,0,1.060582765578654,3.8480970585937905e-5,EZH2 433
EZH2_133,GSK,1,2.836282142417207,3.380811004621569e-6,EZH2 433
EZH2_133,GSK,2,-2.8734182566754436,9.658729977691502e-5,EZH2 433
EZH2_133,GSK,3,-3.6849446728309587,1.547480097627713e-5,EZH2 433
EZH2_134,GSK,-1,-3.0474199269015707,2.1606600874298756e-5,EZH2 433.5
EZH2_134,GSK,0,0.7838546296261459,2.1606600874298756e-5,EZH2 433.5
EZH2_134,GSK,1,-3.208272103681156,1.0142401013864661e-5,EZH2 433.5
EZH2_134,GSK,2,-2.0779289343932326,2.7596400650546778e-5,EZH2 433.5
EZH2_134,GSK,3,-3.856058742630324,2.7081000958484828e-5,EZH2 433.5
EZH2_135,GSK,-1,-0.6941062036143657,1.3056804261402785e-5,EZH2 435
EZH2_135,GSK,0,1.8382616646484105,1.3056804261402785e-5,EZH2 435
EZH2_135,GSK,1,-3.4242914879893442,1.6904101023107905e-5,EZH2 435
EZH2_135,GSK,2,-1.3431607499219507,1.839760076703118e-5,EZH2 435
EZH2_135,GSK,3,2.685133627068198,3.868710994069266e-6,EZH2 435
EZH2_136,GSK,-1,4.153034758374494,9.999999957236667e-13,EZH2 437
EZH2_136,GSK,0,5.12398364874551,9.999999957236667e-13,EZH2 437
EZH2_136,GSK,1,5.278302223835914,1.000000001367e-12,EZH2 437
EZH2_136,GSK,2,2.026495716125287,9.999999873370002e-13,EZH2 437
EZH2_136,GSK,3,5.154306335162279,9.99999998467e-13,EZH2 437
EZH2_137,GSK,-1,0.09179281895465448,1.153436756366561e-5,EZH2 443.5
EZH2_137,GSK,0,1.4093464332855326,1.153436756366561e-5,EZH2 443.5
EZH2_137,GSK,1,10.602317864595477,1.000000001367e-12,EZH2 443.5
EZH2_137,GSK,2,-6.909730455516855,2.299700070878898e-5,EZH2 443.5
EZH2_137,GSK,3,-3.4172089522146587,1.1606100982207848e-5,EZH2 443.5
EZH2_138,GSK,-1,-0.640490487456924,6.203500983230613e-6,EZH2 448
EZH2_138,GSK,0,2.0611845805645506,6.203500983230613e-6,EZH2 448
EZH2_138,GSK,1,-3.3715705831280998,1.0142401013864661e-5,EZH2 448
EZH2_138,GSK,2,-0.5532133705837932,4.599390941757913e-6,EZH2 448
EZH2_138,GSK,3,2.003312491341121,3.868710994069266e-6,EZH2 448
EZH2_139,GSK,-1,1.391985496474883,2.2538743364143742e-6,EZH2 449
EZH2_139,GSK,0,-2.642880806510968,2.2538743364143742e-6,EZH2 449
EZH2_139,GSK,1,-3.0744886246140375,6.761621009243137e-6,EZH2 449
EZH2_139,GSK,2,2.0613172475008468,9.999999873370002e-13,EZH2 449
EZH2_139,GSK,3,5.18912786653784,9.99999998467e-13,EZH2 449
EZH2_140,GSK,-1,-0.8349041358081176,1.1209110904033794e-5,EZH2 459
EZH2_140,GSK,0,1.6272889070857641,1.1209110904033794e-5,EZH2 459
EZH2_140,GSK,1,-3.0136293094530333,6.761621009243137e-6,EZH2 459
EZH2_140,GSK,2,-2.00229443423901,2.299700070878898e-5,EZH2 459
EZH2_140,GSK,3,2.5112113362676904,3.868710994069266e-6,EZH2 459
EZH2_141,GSK,-1,3.9964443333314406,9.999999957236667e-13,EZH2 459.5
EZH2_141,GSK,0,4.967393223702457,9.999999957236667e-13,EZH2 459.5
EZH2_141,GSK,1,5.1217117987928615,1.000000001367e-12,EZH2 459.5
EZH2_141,GSK,2,1.869905291082234,9.999999873370002e-13,EZH2 459.5
EZH2_141,GSK,3,4.997715910119227,9.99999998467e-13,EZH2 459.5
EZH2_142,GSK,-1,0.6170456193420039,3.24194340578143e-5,EZH2 462
EZH2_142,GSK,0,1.5072827562832654,3.24194340578143e-5,EZH2 462
EZH2_142,GSK,1,2.095833435401238,1.3523201018486215e-5,EZH2 462
EZH2_142,GSK,2,-1.7907003786505058,6.439150018461042e-5,EZH2 462
EZH2_142,GSK,3,1.5460038012752795,1.934360097034626e-5,EZH2 462
EZH2_143,GSK,-1,0.9587266606557062,1.7656204203160584e-5,EZH2 462
EZH2_143,GSK,0,1.7672995086382184,1.7656204203160584e-5,EZH2 462
EZH2_143,GSK,1,1.8731885018710317,1.6904101023107905e-5,EZH2 462
EZH2_143,GSK,2,-1.6990731750068198,3.219580059230458e-5,EZH2 462
EZH2_143,GSK,3,2.7020646551029066,3.868710994069266e-6,EZH2 462
EZH2_144,GSK,-1,0.2521840331795853,2.136226753408063e-5,EZH2 466.5
EZH2_144,GSK,0,1.2050469448529906,2.136226753408063e-5,EZH2 466.5
EZH2_144,GSK,1,1.5398844643512302,2.028490102772946e-5,EZH2 466.5
EZH2_144,GSK,2,-2.2620804398366863,3.219580059230458e-5,EZH2 466.5
EZH2_144,GSK,3,1.4787480750242121,1.1606100982207848e-5,EZH2 466.5
EZH2_145,GSK,-1,0.44502729096178406,2.362683415334412e-5,EZH2 468.5
EZH2_145,GSK,0,1.448875927406614,2.362683415334412e-5,EZH2 468.5
EZH2_145,GSK,1,2.318293625281483,1.0142401013864661e-5,EZH2 468.5
EZH2_145,GSK,2,-2.2928151327268673,4.139450047582144e-5,EZH2 468.5
EZH2_145,GSK,3,1.3096033803307363,1.934360097034626e-5,EZH2 468.5
EZH2_146,GSK,-1,-0.6435655232767323,5.482770960735515e-6,EZH2 485
EZH2_146,GSK,0,1.7890445101847934,5.482770960735515e-6,EZH2 485
EZH2_146,GSK,1,2.37076810913054,3.380811004621569e-6,EZH2 485
EZH2_146,GSK,2,-1.487613497226406,9.19879088351571e-6,EZH2 485
EZH2_146,GSK,3,-2.8138511817343312,3.868710994069266e-6,EZH2 485
EZH2_147,GSK,-1,2.8688023555710926,9.198800883515592e-6,EZH2 486.5
EZH2_147,GSK,0,1.2450011607555713,9.198800883515592e-6,EZH2 486.5
EZH2_147,GSK,1,5.401306206585535,1.000000001367e-12,EZH2 486.5
EZH2_147,GSK,2,-2.072209457784157,2.7596400650546778e-5,EZH2 486.5
EZH2_147,GSK,3,5.2773103179119,9.99999998467e-13,EZH2 486.5
EZH2_148,GSK,-1,0.30281234972261484,3.733413406734385e-5,EZH2 487
EZH2_148,GSK,0,1.2199808567098944,3.733413406734385e-5,EZH2 487
EZH2_148,GSK,1,1.9047390521045917,1.3523201018486215e-5,EZH2 487
EZH2_148,GSK,2,-1.98153381659247,5.979210024285264e-5,EZH2 487
EZH2_148,GSK,3,0.9852318136557229,3.868710094069268e-5,EZH2 487
EZH2_149,GSK,-1,0.3680747083629925,7.666790053902385e-5,EZH2 487.5
EZH2_149,GSK,0,1.3883303351763752,7.666790053902385e-5,EZH2 487.5
EZH2_149,GSK,1,1.5729104285933506,5.0712201069323583e-5,EZH2 487.5
EZH2_149,GSK,2,-1.654982629616816,1.0578599966043188e-4,EZH2 487.5
EZH2_149,GSK,3,1.1862963261124428,7.350550088731608e-5,EZH2 487.5
EZH2_150,GSK,-1,0.6758483064851413,2.2885467589473097e-5,EZH2 488.5
EZH2_150,GSK,0,1.6445230774753028,2.2885467589473097e-5,EZH2 488.5
EZH2_150,GSK,1,1.6408660322416768,2.7046501036972567e-5,EZH2 488.5
EZH2_150,GSK,2,-1.3430037845891754,1.839760076703118e-5,EZH2 488.5
EZH2_150,GSK,3,1.7296826718029223,2.3212300964415544e-5,EZH2 488.5
EZH2_151,GSK,-1,-1.4163560177495231,4.605496721993897e-5,EZH2 493
EZH2_151,GSK,0,0.893810444441886,4.605496721993897e-5,EZH2 493
EZH2_151,GSK,1,1.6293626480357268,1.6904101023107905e-5,EZH2 493
EZH2_151,GSK,2,-2.442186885792867,1.0578599966043188e-4,EZH2 493
EZH2_151,GSK,3,-3.436243815491429,1.547480097627713e-5,EZH2 493
EZH2_152,GSK,-1,0.9503128578505954,4.8391340591077204e-5,EZH2 494
EZH2_152,GSK,0,2.0316472873536755,4.8391340591077204e-5,EZH2 494
EZH2_152,GSK,1,2.255787123712795,6.761621009243137e-6,EZH2 494
EZH2_152,GSK,2,-1.0834628406441873,9.198789983515722e-5,EZH2 494
EZH2_152,GSK,3,1.6786142904831785,4.642450092883125e-5,EZH2 494
EZH2_153,GSK,-1,3.1649743350330306,1.2487967619208131e-5,EZH2 497
EZH2_153,GSK,0,1.3713267035618242,1.2487967619208131e-5,EZH2 497
EZH2_153,GSK,1,1.1242682493462879,2.3665701032351013e-5,EZH2 497
EZH2_153,GSK,2,-1.6814943494721337,1.3798200825273382e-5,EZH2 497
EZH2_153,GSK,3,10.052149105224938,9.99999998467e-13,EZH2 497
EZH2_154,GSK,-1,-1.4699282407016956,4.193200962712426e-6,EZH2 500
EZH2_154,GSK,0,-3.1085288743183632,4.193200962712426e-6,EZH2 500
EZH2_154,GSK,1,-2.8393576176709376,3.380811004621569e-6,EZH2 500
EZH2_154,GSK,2,-6.625007560492994,9.19879088351571e-6,EZH2 500
EZH2_154,GSK,3,5.054580456058845,9.99999998467e-13,EZH2 500
EZH2_155,GSK,-1,-0.002642180204689352,4.0948567462668206e-5,EZH2 502
EZH2_155,GSK,0,0.9927674301610108,4.0948567462668206e-5,EZH2 502
EZH2_155,GSK,1,1.463842012324274,3.042730104159412e-5,EZH2 502
EZH2_155,GSK,2,-2.2162080472229273,4.599390041757924e-5,EZH2 502
EZH2_155,GSK,3,0.7444394942845853,4.642450092883125e-5,EZH2 502
EZH2_156,GSK,-1,0.6925400304587761,3.466256744471331e-5,EZH2 502.5
EZH2_156,GSK,0,1.6775410480626332,3.466256744471331e-5,EZH2 502.5
EZH2_156,GSK,1,1.495724162839863,3.718890105083723e-5,EZH2 502.5
EZH2_156,GSK,2,-1.4070118973329209,5.519270030109484e-5,EZH2 502.5
EZH2_156,GSK,3,1.9889078258693862,1.1606100982207848e-5,EZH2 502.5
EZH2_157,GSK,-1,-1.2479023240526772,1.7250004224115167e-5,EZH2 513.5
EZH2_157,GSK,0,1.0872444563738282,1.7250004224115167e-5,EZH2 513.5
EZH2_157,GSK,1,1.3246696930642887,2.028490102772946e-5,EZH2 513.5
EZH2_157,GSK,2,-2.1640330379021795,2.7596400650546778e-5,EZH2 513.5
EZH2_157,GSK,3,-2.9043436273201406,3.868710994069266e-6,EZH2 513.5
EZH2_158,GSK,-1,-2.893989248547322,1.2244400969978662e-5,EZH2 514
EZH2_158,GSK,0,0.8495640593800077,1.2244400969978662e-5,EZH2 514
EZH2_158,GSK,1,-3.8973531404806385,2.3665701032351013e-5,EZH2 514
EZH2_158,GSK,2,-1.7291884603267011,9.19879088351571e-6,EZH2 514
EZH2_158,GSK,3,-3.0554261448346267,3.868710994069266e-6,EZH2 514
EZH2_159,GSK,-1,-0.1314242478532269,3.705282667827934e-4,EZH2 519.5
EZH2_159,GSK,0,0.5378480315830466,3.705282667827934e-4,EZH2 519.5
EZH2_159,GSK,1,1.2156814850257696,4.395050106008034e-5,EZH2 519.5
EZH2_159,GSK,2,-1.6151810057442495,9.658729977691502e-5,EZH2 519.5
EZH2_159,GSK,3,0.005226777158799267,9.710469995113849e-4,EZH2 519.5
EZH2_160,GSK,-1,1.65311886609189,1.3067500877584875e-5,EZH2 522
EZH2_160,GSK,0,1.4087778341561115,1.3067500877584875e-5,EZH2 522
EZH2_160,GSK,1,10.534439800119028,1.000000001367e-12,EZH2 522
EZH2_160,GSK,2,-7.074846679751508,2.7596400650546778e-5,EZH2 522
EZH2_160,GSK,3,1.4997634779081506,1.1606100982207848e-5,EZH2 522
EZH2_161,GSK,-1,2.9664330361405993,3.868700994069279e-6,EZH2 528
EZH2_161,GSK,0,1.699085536828902,3.868700994069279e-6,EZH2 528
EZH2_161,GSK,1,10.309436984116246,1.000000001367e-12,EZH2 528
EZH2_161,GSK,2,2.0689034769249814,9.999999873370002e-13,EZH2 528
EZH2_161,GSK,3,-3.47904135261943,1.1606100982207848e-5,EZH2 528
EZH2_162,GSK,-1,4.786833112623328,1.533130980585971e-6,EZH2 528.5
EZH2_162,GSK,0,2.4057368059554287,1.533130980585971e-6,EZH2 528.5
EZH2_162,GSK,1,5.3391847610391645,1.000000001367e-12,EZH2 528.5
EZH2_162,GSK,2,-1.1787247901339686,4.599390941757913e-6,EZH2 528.5
EZH2_162,GSK,3,10.200039366964788,9.99999998467e-13,EZH2 528.5
EZH2_163,GSK,-1,-0.04627979534877524,7.980997637368058e-6,EZH2 530
EZH2_163,GSK,0,1.069854993956565,7.980997637368058e-6,EZH2 530
EZH2_163,GSK,1,5.150421524613145,1.000000001367e-12,EZH2 530
EZH2_163,GSK,2,-1.367488026559989,4.599390941757913e-6,EZH2 530
EZH2_163,GSK,3,-3.9217728840994814,1.934360097034626e-5,EZH2 530
EZH2_164,GSK,-1,2.1786218118482354,1.4925104160147669e-5,EZH2 532
EZH2_164,GSK,0,1.8773007858385167,1.4925104160147669e-5,EZH2 532
EZH2_164,GSK,1,3.138952898138859,3.380811004621569e-6,EZH2 532
EZH2_164,GSK,2,-7.034849915818248,4.139450047582144e-5,EZH2 532
EZH2_164,GSK,3,10.431762453224096,9.99999998467e-13,EZH2 532
EZH2_165,GSK,-1,-2.961208176616067,0.0013875955328388645,EZH2 535
EZH2_165,GSK,0,0.9244713170667354,0.0013875955328388645,EZH2 535
EZH2_165,GSK,1,0.8622380051209291,0.004138113006656801,EZH2 535
EZH2_165,GSK,2,-6.2981323378934135,9.19879088351571e-6,EZH2 535
EZH2_165,GSK,3,-3.447730197075717,1.547480097627713e-5,EZH2 535
EZH2_166,GSK,-1,-0.5336356581717144,5.076574315023438e-6,EZH2 541
EZH2_166,GSK,0,2.071596555649337,5.076574315023438e-6,EZH2 541
EZH2_166,GSK,1,2.210135411554945,6.761621009243137e-6,EZH2 541
EZH2_166,GSK,2,-6.19108776954209,4.599390941757913e-6,EZH2 541
EZH2_166,GSK,3,2.3800453834720017,3.868710994069266e-6,EZH2 541
EZH2_167,GSK,-1,0.9509528279050998,3.1698707368652545e-5,EZH2 541
EZH2_167,GSK,0,1.9486415652122382,3.1698707368652545e-5,EZH2 541
EZH2_167,GSK,1,2.279408443252596,6.761621009243137e-6,EZH2 541
EZH2_167,GSK,2,-1.2485489064881201,6.899090012636823e-5,EZH2 541
EZH2_167,GSK,3,1.8219989469508235,1.934360097034626e-5,EZH2 541
EZH2_168,GSK,-1,0.292184982368706,9.114546730404084e-5,EZH2 561.5
EZH2_168,GSK,0,1.3374434629053682,9.114546730404084e-5,EZH2 561.5
EZH2_168,GSK,1,1.6170988757982698,1.0480500114326843e-4,EZH2 561.5
EZH2_168,GSK,2,-1.78738814564821,8.738849989339943e-5,EZH2 561.5
EZH2_168,GSK,3,1.0468442169560581,8.124290087545463e-5,EZH2 561.5
EZH2_169,GSK,-1,-0.712488006824536,1.274224421795306e-5,EZH2 562
EZH2_169,GSK,0,1.6659068233333558,1.274224421795306e-5,EZH2 562
EZH2_169,GSK,1,2.3277185861723706,6.761621009243137e-6,EZH2 562
EZH2_169,GSK,2,-1.7469118393011105,2.7596400650546778e-5,EZH2 562
EZH2_169,GSK,3,-2.718270767344868,3.868710994069266e-6,EZH2 562
EZH2_170,GSK,-1,0.8906283661452786,6.781503385651556e-5,EZH2 562
EZH2_170,GSK,0,1.753707996266407,6.781503385651556e-5,EZH2 562
EZH2_170,GSK,1,2.5355481847209544,2.028490102772946e-5,EZH2 562
EZH2_170,GSK,2,-1.5156044389857366,1.0578599966043188e-4,EZH2 562
EZH2_170,GSK,3,1.651941352700618,7.737420088138535e-5,EZH2 562
EZH2_171,GSK,-1,-1.4382792482818159,4.046146749754247e-5,EZH2 564
EZH2_171,GSK,0,1.205091529596639,4.046146749754247e-5,EZH2 564
EZH2_171,GSK,1,-3.6310308054342775,3.042730104159412e-5,EZH2 564
EZH2_171,GSK,2,-2.068188348774714,3.679510053406365e-5,EZH2 564
EZH2_171,GSK,3,1.3843814093635438,5.416200091696966e-5,EZH2 564
EZH2_172,GSK,-1,-1.0656115237484414,1.3127770988956338e-5,EZH2 567
EZH2_172,GSK,0,1.2701621377729677,1.3127770988956338e-5,EZH2 567
EZH2_172,GSK,1,-3.778070082936756,2.7046501036972567e-5,EZH2 567
EZH2_172,GSK,2,-1.1690099264618732,4.599390941757913e-6,EZH2 567
EZH2_172,GSK,3,1.7502454381533055,7.737420988138532e-6,EZH2 567
EZH2_173,GSK,-1,-4.326689015228745,2.6703044039709445e-5,EZH2 574.5
EZH2_173,GSK,0,-3.774615509864772,2.6703044039709445e-5,EZH2 574.5
EZH2_173,GSK,1,-2.5180772277771646,3.380811004621569e-6,EZH2 574.5
EZH2_173,GSK,2,-7.3783418713781135,6.899090012636823e-5,EZH2 574.5
EZH2_173,GSK,3,-3.083647946530958,7.737420988138532e-6,EZH2 574.5
EZH2_174,GSK,-1,2.1591298417966867,5.320137630919615e-6,EZH2 578
EZH2_174,GSK,0,2.245105884852927,5.320137630919615e-6,EZH2 578
EZH2_174,GSK,1,2.588053184227463,6.761621009243137e-6,EZH2 578
EZH2_174,GSK,2,-1.4371281697217475,9.19879088351571e-6,EZH2 578
EZH2_174,GSK,3,5.326464510884345,9.99999998467e-13,EZH2 578
EZH2_175,GSK,-1,1.1079639057589383,6.3661443130465276e-6,EZH2 578
EZH2_175,GSK,0,2.100496601375235,6.3661443130465276e-6,EZH2 578
EZH2_175,GSK,1,2.3362961571709606,6.761621009243137e-6,EZH2 578
EZH2_175,GSK,2,-0.7827281165289972,4.599390941757913e-6,EZH2 578
EZH2_175,GSK,3,1.7703236766348518,7.737420988138532e-6,EZH2 578
EZH2_176,GSK,-1,-0.13438866394539606,0.0010474886615826407,EZH2 578.5
EZH2_176,GSK,0,0.9777682507512924,0.0010474886615826407,EZH2 578.5
EZH2_176,GSK,1,1.7464947226528902,5.747380017856669e-4,EZH2 578.5
EZH2_176,GSK,2,-2.66631382927862,0.001356820983818576,EZH2 578.5
EZH2_176,GSK,3,0.5166531147895418,0.0012109069991436796,EZH2 578.5
EZH2_177,GSK,-1,0.6715575366546668,3.199336756171502e-5,EZH2 581
EZH2_177,GSK,0,1.750235409594099,3.199336756171502e-5,EZH2 581
EZH2_177,GSK,1,2.155129755622301,3.042730104159412e-5,EZH2 581
EZH2_177,GSK,2,-1.7132350508045817,2.299700070878898e-5,EZH2 581
EZH2_177,GSK,3,1.5727779051462814,4.2555800934761956e-5,EZH2 581
EZH2_178,GSK,-1,0.30531024514253985,4.716126734677015e-5,EZH2 584
EZH2_178,GSK,0,1.2455713502400425,4.716126734677015e-5,EZH2 584
EZH2_178,GSK,1,1.5986210665504896,4.395050106008034e-5,EZH2 584
EZH2_178,GSK,2,-2.129049940948184,7.818970000988383e-5,EZH2 584
EZH2_178,GSK,3,1.446359609825314,1.934360097034626e-5,EZH2 584
EZH2_179,GSK,-1,0.7539821435789641,1.4275377531872328e-5,EZH2 588
EZH2_179,GSK,0,1.506192953470364,1.4275377531872328e-5,EZH2 588
EZH2_179,GSK,1,2.082960262250739,6.761621009243137e-6,EZH2 588
EZH2_179,GSK,2,-2.0738837149210654,3.219580059230458e-5,EZH2 588
EZH2_179,GSK,3,2.252869883407219,3.868710994069266e-6,EZH2 588
EZH2_180,GSK,-1,0.7177768108500678,1.909846760580613e-5,EZH2 588
EZH2_180,GSK,0,1.7426930573102186,1.909846760580613e-5,EZH2 588
EZH2_180,GSK,1,2.0276612142345876,2.028490102772946e-5,EZH2 588
EZH2_180,GSK,2,-1.165745150692557,1.3798200825273382e-5,EZH2 588
EZH2_180,GSK,3,1.291414369008173,2.3212300964415544e-5,EZH2 588
EZH2_181,GSK,-1,4.72986841399183,3.868700994069279e-6,EZH2 590
EZH2_181,GSK,0,2.089049624578587,3.868700994069279e-6,EZH2 590
EZH2_181,GSK,1,5.369756083187942,1.000000001367e-12,EZH2 590
EZH2_181,GSK,2,7.033944911423061,9.999999873370002e-13,EZH2 590
EZH2_181,GSK,3,1.7859042473644875,1.1606100982207848e-5,EZH2 590
EZH2_182,GSK,-1,-2.114249448516258,2.1528270046303717e-4,EZH2 592
EZH2_182,GSK,0,0.2191440748440019,2.1528270046303717e-4,EZH2 592
EZH2_182,GSK,1,1.3768841121674398,5.0712201069323583e-5,EZH2 592
EZH2_182,GSK,2,-7.489910698235769,6.899090012636823e-5,EZH2 592
EZH2_182,GSK,3,-0.22972175948044482,5.261450001934197e-4,EZH2 592
EZH2_183,GSK,-1,-1.0017820920565927,0.003276561318292093,EZH2 596.5
EZH2_183,GSK,0,-0.2949178429535242,0.003276561318292093,EZH2 596.5
EZH2_183,GSK,1,-0.2830088999266751,0.005230115008149567,EZH2 596.5
EZH2_183,GSK,2,-3.467881844108815,0.004332627946135933,EZH2 596.5
EZH2_183,GSK,3,0.745544467865712,2.669410005907794e-4,EZH2 596.5
EZH2_184,GSK,-1,-1.3020295500525059,0.18078230377396606,EZH2 597
EZH2_184,GSK,0,-0.488552673191087,0.18078230377396606,EZH2 597
EZH2_184,GSK,1,0.30308801889249615,0.010368948015174352,EZH2 597
EZH2_184,GSK,2,-3.7410697919638713,0.438432521449129,EZH2 597
EZH2_184,GSK,3,-0.46810687708614207,0.09354544185759485,EZH2 597
EZH2_185,GSK,-1,-0.3134485775705961,0.0015012736658163652,EZH2 597.5
EZH2_185,GSK,0,0.46824549890916267,0.0015012736658163652,EZH2 597.5
EZH2_185,GSK,1,0.38296997442722447,0.003414619005667784,EZH2 597.5
EZH2_185,GSK,2,-2.3686363482706088,7.680989912735624e-4,EZH2 597.5
EZH2_185,GSK,3,1.045320641131596,3.211030005077491e-4,EZH2 597.5
EZH2_186,GSK,-1,3.152106552767776,8.407867354181594e-4,EZH2 599
EZH2_186,GSK,0,-0.05084351181555813,8.407867354181594e-4,EZH2 599
EZH2_186,GSK,1,-0.40122922976435293,0.0025085620044292046,EZH2 599
EZH2_186,GSK,2,-1.1211492373451906,1.3798200825273382e-5,EZH2 599
EZH2_186,GSK,3,10.97869812541287,9.99999998467e-13,EZH2 599
EZH2_187,GSK,-1,-2.8747182226127066,1.3625607570264059e-5,EZH2 606.5
EZH2_187,GSK,0,0.9932256364402897,1.3625607570264059e-5,EZH2 606.5
EZH2_187,GSK,1,-3.3136484360127203,1.0142401013864661e-5,EZH2 606.5
EZH2_187,GSK,2,-7.002062442912341,2.299700070878898e-5,EZH2 606.5
EZH2_187,GSK,3,1.6915562110869418,7.737420988138532e-6,EZH2 606.5
EZH2_188,GSK,-1,1.4316372426434867,1.2895709980230848e-6,EZH2 611
EZH2_188,GSK,0,-2.4047078336178545,1.2895709980230848e-6,EZH2 611
EZH2_188,GSK,1,5.25351482980958,1.000000001367e-12,EZH2 611
EZH2_188,GSK,2,2.0017083220989527,9.999999873370002e-13,EZH2 611
EZH2_188,GSK,3,-2.960311423978073,3.868710994069266e-6,EZH2 611
EZH2_189,GSK,-1,-2.990740468426182,1.6691874198102593e-5,EZH2 611.5
EZH2_189,GSK,0,0.7828660355978627,1.6691874198102593e-5,EZH2 611.5
EZH2_189,GSK,1,-3.346901677973296,1.0142401013864661e-5,EZH2 611.5
EZH2_189,GSK,2,-2.2987722018323593,3.219580059230458e-5,EZH2 611.5
EZH2_189,GSK,3,-3.326547525472891,7.737420988138532e-6,EZH2 611.5
EZH2_190,GSK,-1,3.166129640540005,1.533130980585971e-6,EZH2 612
EZH2_190,GSK,0,2.333431089151345,1.533130980585971e-6,EZH2 612
EZH2_190,GSK,1,5.3030820076136616,1.000000001367e-12,EZH2 612
EZH2_190,GSK,2,-0.9837792049336735,4.599390941757913e-6,EZH2 612
EZH2_190,GSK,3,5.179086118940027,9.99999998467e-13,EZH2 612
EZH2_191,GSK,-1,-2.8222883699228754,2.161650413282598e-5,EZH2 615.5
EZH2_191,GSK,0,0.8532463797270868,2.161650413282598e-5,EZH2 615.5
EZH2_191,GSK,1,2.363284298160325,3.380811004621569e-6,EZH2 615.5
EZH2_191,GSK,2,-7.26945890460428,4.599390041757924e-5,EZH2 615.5
EZH2_191,GSK,3,-3.5606905033246714,1.547480097627713e-5,EZH2 615.5
EZH2_192,GSK,-1,0.4347366936111723,2.97387342009786e-5,EZH2 616.5
EZH2_192,GSK,0,1.432157201593796,2.97387342009786e-5,EZH2 616.5
EZH2_192,GSK,1,1.4982984561242527,3.380810104621568e-5,EZH2 616.5
EZH2_192,GSK,2,-1.935334033214508,3.219580059230458e-5,EZH2 616.5
EZH2_192,GSK,3,1.741245657923772,2.3212300964415544e-5,EZH2 616.5
EZH2_193,GSK,-1,-4.150905289228344,7.015907607988072e-6,EZH2 619.5
EZH2_193,GSK,0,-3.29532796365537,7.015907607988072e-6,EZH2 619.5
EZH2_193,GSK,1,-2.751641671787074,3.380811004621569e-6,EZH2 619.5
EZH2_193,GSK,2,-6.75354023272665,1.3798200825273382e-5,EZH2 619.5
EZH2_193,GSK,3,-2.947533963171309,3.868710994069266e-6,EZH2 619.5
EZH2_194,GSK,-1,0.687530085265341,5.429756751083433e-5,EZH2 624
EZH2_194,GSK,0,1.5618078936511026,5.429756751083433e-5,EZH2 624
EZH2_194,GSK,1,1.5432559059678397,1.0142400113864661e-4,EZH2 624
EZH2_194,GSK,2,-1.4656732487021937,4.599390041757924e-5,EZH2 624
EZH2_194,GSK,3,1.985007598530377,1.547480097627713e-5,EZH2 624
EZH2_195,GSK,-1,-0.8590079338886435,1.2011540936931217e-5,EZH2 624.5
EZH2_195,GSK,0,1.7441075276887148,1.2011540936931217e-5,EZH2 624.5
EZH2_195,GSK,1,2.4584566746189926,6.761621009243137e-6,EZH2 624.5
EZH2_195,GSK,2,-1.4775437803242972,1.3798200825273382e-5,EZH2 624.5
EZH2_195,GSK,3,-3.557936695960626,1.547480097627713e-5,EZH2 624.5
EZH2_196,GSK,-1,-2.740559192329691,2.491563746037859e-5,EZH2 626
EZH2_196,GSK,0,1.1022814513165078,2.491563746037859e-5,EZH2 626
EZH2_196,GSK,1,1.7324673786952434,2.028490102772946e-5,EZH2 626
EZH2_196,GSK,2,-7.22655053392067,5.059330035933704e-5,EZH2 626
EZH2_196,GSK,3,-2.7275944217636465,3.868710994069266e-6,EZH2 626
EZH2_197,GSK,-1,1.1216081990521645,2.378870412550474e-5,EZH2 627
EZH2_197,GSK,0,1.9991402949965587,2.378870412550474e-5,EZH2 627
EZH2_197,GSK,1,2.1195775257047376,1.6904101023107905e-5,EZH2 627
EZH2_197,GSK,2,-1.2275008377631789,5.059330035933704e-5,EZH2 627
EZH2_197,GSK,3,2.472747909214935,3.868710994069266e-6,EZH2 627
EZH2_198,GSK,-1,0.25202409892586813,1.2985807533849238e-5,EZH2 627.5
