sgRNA_ID,drug,rep,rdiff,prop,lab
Control_016,GSK,3,2.551013585542247,8.511170086952376e-5,NEG_CTL -1
Control_017,GSK,-1,-1.4436127082162113,2.660146751225364e-5,NEG_CTL -1
Control_017,GSK,0,1.197264494476253,2.660146751225364e-5,NEG_CTL -1
Control_017,GSK,1,1.6691001991378513,2.3665701032351013e-5,NEG_CTL -1
Control_017,GSK,2,-7.343291700581967,3.679510053406365e-5,NEG_CTL -1
Control_017,GSK,3,1.3433533767954817,1.934360097034626e-5,NEG_CTL -1
Control_018,GSK,-1,0.33803177135378254,5.3051800668528424e-5,NEG_CTL -1
Control_018,GSK,0,1.3951774422581014,5.3051800668528424e-5,NEG_CTL -1
Control_018,GSK,1,2.214569450738432,2.3665701032351013e-5,NEG_CTL -1
Control_018,GSK,2,-1.9460779334630967,7.359030006812603e-5,NEG_CTL -1
Control_018,GSK,3,0.7456037967860123,6.189940090510822e-5,NEG_CTL -1
Control_019,GSK,-1,0.6199554014699806,8.619040036686053e-5,NEG_CTL -1
Control_019,GSK,0,1.6619264218579892,8.619040036686053e-5,NEG_CTL -1
Control_019,GSK,1,1.471631241425003,6.423540108780979e-5,NEG_CTL -1
Control_019,GSK,2,-1.4669412412026164,1.5177999907800985e-4,NEG_CTL -1
Control_019,GSK,3,1.8551762041875552,4.2555800934761956e-5,NEG_CTL -1
Control_020,GSK,-1,0.332495762177283,5.3467900572767254e-5,NEG_CTL -1
Control_020,GSK,0,1.372164382210047,5.3467900572767254e-5,NEG_CTL -1
Control_020,GSK,1,1.6008051708817086,1.3523201018486215e-5,NEG_CTL -1
Control_020,GSK,2,-1.7419410355404732,9.658729977691502e-5,NEG_CTL -1
Control_020,GSK,3,1.1386231511906135,5.029320092290053e-5,NEG_CTL -1
Control_021,GSK,-1,-1.1711785751846426,2.6053274078101207e-5,NEG_CTL -1
Control_021,GSK,0,1.2035810055780911,2.6053274078101207e-5,NEG_CTL -1
Control_021,GSK,1,2.2468437768605756,6.761621009243137e-6,NEG_CTL -1
Control_021,GSK,2,-2.2401536480418844,5.979210024285264e-5,NEG_CTL -1
Control_021,GSK,3,-3.520225854372619,1.1606100982207848e-5,NEG_CTL -1
Control_022,GSK,-1,0.44146117563618065,9.32688004925188e-5,NEG_CTL -1
Control_022,GSK,0,1.4684319789753335,9.32688004925188e-5,NEG_CTL -1
Control_022,GSK,1,2.0471029111673382,6.423540108780979e-5,NEG_CTL -1
Control_022,GSK,2,-1.9696778762752702,1.1498499954394495e-4,NEG_CTL -1
Control_022,GSK,3,1.246958492016474,1.0058600084580166e-4,NEG_CTL -1
Control_023,GSK,-1,-1.4573998262477044,5.917283395036807e-5,NEG_CTL -1
Control_023,GSK,0,1.2925729865550237,5.917283395036807e-5,NEG_CTL -1
Control_023,GSK,1,1.8264623165951737,5.0712201069323583e-5,NEG_CTL -1
Control_023,GSK,2,-2.233260124475358,9.198789983515722e-5,NEG_CTL -1
Control_023,GSK,3,-3.9654016708629287,3.4818400946623393e-5,NEG_CTL -1
Control_024,GSK,-1,0.5716111231908906,7.02208339065633e-5,NEG_CTL -1
Control_024,GSK,0,1.5416936894405247,7.02208339065633e-5,NEG_CTL -1
Control_024,GSK,1,2.058644282838919,4.0569701055458786e-5,NEG_CTL -1
Control_024,GSK,2,-1.6390996488282346,9.658729977691502e-5,NEG_CTL -1
Control_024,GSK,3,1.295288735561987,7.350550088731608e-5,NEG_CTL -1
Control_025,GSK,-1,0.4572950646553932,7.941800040810281e-5,NEG_CTL -1
Control_025,GSK,0,1.4627764928543048,7.941800040810281e-5,NEG_CTL -1
Control_025,GSK,1,2.0265704484874045,6.0854601083188245e-5,NEG_CTL -1
Control_025,GSK,2,-2.3016138500426804,1.425809991944968e-4,NEG_CTL -1
Control_025,GSK,3,1.6469285955214554,3.4818400946623393e-5,NEG_CTL -1
Control_026,GSK,-1,0.3655585413793226,5.649206742686607e-5,NEG_CTL -1
Control_026,GSK,0,1.4030348179613987,5.649206742686607e-5,NEG_CTL -1
Control_026,GSK,1,1.6337343945061862,7.09970010970529e-5,NEG_CTL -1
Control_026,GSK,2,-2.1356762009672647,5.979210024285264e-5,NEG_CTL -1
Control_026,GSK,3,1.5986174305990464,3.868710094069268e-5,NEG_CTL -1
Control_027,GSK,-1,0.269644489600568,6.90220338198152e-5,NEG_CTL -1
Control_027,GSK,0,1.222033438896029,6.90220338198152e-5,NEG_CTL -1
Control_027,GSK,1,1.4695862568794253,3.718890105083723e-5,NEG_CTL -1
Control_027,GSK,2,-1.9765304404445219,1.1958399948570782e-4,NEG_CTL -1
Control_027,GSK,3,1.3158776523668005,5.029320092290053e-5,NEG_CTL -1
Control_028,GSK,-1,0.44479552107809167,6.253373410460274e-5,NEG_CTL -1
